Event,Category,Unsure,Alternative,Description
tabdoc:move-dashboard-edge,Adjust GUI,,,
tabdoc:pane-zoom-factor,Adjust GUI,x,,
tabui:scroll-sheet,Adjust GUI,,,
tabdoc:zoom-level,Adjust GUI,,,
tabui:view-caption-card,Adjust GUI,,,
tabui:view-dashboard-title,Adjust GUI,x,,
tabui:view-quick-filters,Adjust GUI,,,
tabdoc:pane-zoom,Adjust GUI,x,,
tabui:reset-cards,Adjust GUI,,,
tabui:shape-legend-edit-ui,Adjust GUI,,,
tabui:view-rows-shelf,Adjust GUI,,,
tabui:change-tab-color-sheet,Adjust GUI,,,
tabui:show-me-hide-ui,Adjust GUI,,,
tabdoc:zoom-controls-toggle,Adjust GUI,x,,
tabui:toggle-filmstrip-ui,Adjust GUI,,,Change view of sheet tabs to little pictures.
tabui:sheet-sorter,Adjust GUI,,,Switch to a slide-sorter like view of all sheets
tabui:select-parent-zone,Adjust GUI,x,,Select all in a set in a dashboard
tabui:goto-url,Adjust GUI,,Meta,
tabui:goto,Adjust GUI,,Meta,Switch sheets
tabdoc:goto-sheet,Adjust GUI,x,Meta,
tabui:edit-title,Annotate vis,,,
tabui:edit-caption,Annotate vis,,,
tabdoc:mark-label,Annotate vis,x,,
tabui:edit-axis-ui,Annotate vis,x,,
tabdoc:update-area-annotation,Annotate vis,,,
tabui:annotate-ui,Annotate vis,,,
tabui:edit-reference-line,Annotate vis,,,
tabui:edit-annotation,Annotate vis,x,,
tabui:remove-annotation,Annotate vis,,,
tabui:view-legend,Annotate vis,,,
tabui:trend-lines-ui,Annotate vis,,,
tabui:hide-title,Annotate vis,,,
tabui:reset-caption-ui,Annotate vis,x,,
tabdoc:update-point-annotation-pullback,Annotate vis,x,,
tabdoc:toggle-drop-lines,Annotate vis,,,Drop line from points to axis
tabui:view-title-card,Annotate vis,,,
tabdoc:rotate-label,Annotate vis,,,
tabdoc:remove-field-label,Annotate vis,,,
tabdoc:on-toggle-axis-ranges,Annotate vis,x,,
tabui:add-reference-line-ui,Annotate vis,,,
tabui:edit-schema-caption-ui,Annotate vis,x,,
tabdoc:hide-column-field-label,Annotate vis,x,,
tabdoc:show-col-totals,Annotate vis,,,
tabui:duplicate-sheet-ui,Copy or paste,,Copy sheet,
