category,idx,id,minute,event
Start up or exit app,9,0,0.0,"{
    ""action"": ""tabui:upgrade-datasources-ui"",
    ""timestamp"": 1410129135.424
}"
Start up or exit app,9,1,3.033916668097178,"{
    ""action"": ""tabui:open-workbook"",
    ""timestamp"": 1410129317.459,
    ""parameters"": {
        ""file"": ""\""<workbook-reference name='EDA_Flight_Data' type='local'>\n<path>/Users/REDACTED/Documents/My Tableau Repository/Workbooks/EDA_Flight_Data.twb</path>\n</workbook-reference>\n\""""
    }
}"
Start up or exit app,9,2,3.0750666658083596,"{
    ""action"": ""tabui:upgrade-datasources-ui"",
    ""timestamp"": 1410129319.928
}"
Manage or edit data,11,3,22.803849999109904,"{
    ""action"": ""tabdoc:change-semantic-role"",
    ""timestamp"": 1410130503.655,
    ""parameters"": {
        ""data-column-name"": ""[City].[Name]""
    }
}"
Drag or drop field,17,4,22.85348333120346,"{
    ""action"": ""tabui:drop-ui"",
    ""timestamp"": 1410130506.633,
    ""parameters"": {
        ""shelf-drop-target-position"": {
            ""shelf-type"": ""columns-shelf"",
            ""shelf-pos-index"": 0,
            ""is-override"": false
        },
        ""drop-target"": ""drag-drop-viz"",
        ""drag-description"": """",
        ""field-encodings"": [
            {
                ""encoding-type"": ""invalid-encoding"",
                ""fn"": {
                    ""table"": ""textscan.41886.512368854200"",
                    ""relation"": {
                        ""aggregate"": ""none"",
                        ""column"": ""OriginCityName"",
                        ""relation"": ""none:OriginCityName:nk"",
                        ""tabscale"": ""nk""
                    }
                }
            }
        ],
        ""shelf-drop-context"": ""none"",
        ""is-right-drag"": ""false"",
        ""is-dead-drop"": ""false"",
        ""target-sheet"": ""Sheet 6"",
        ""drag-source"": ""drag-drop-schema"",
        ""is-copy"": ""false"",
        ""shelf-drag-source-position"": {
            ""is-override"": false
        }
    }
}"
ShowMe,10,5,22.969233334064484,"{
    ""action"": ""tabdoc:show-me"",
    ""timestamp"": 1410130513.578,
    ""parameters"": {
        ""worksheet"": ""Sheet 6"",
        ""show-me-command-type"": ""maps""
    }
}"
Adjust GUI,12,6,23.279066665967306,"{
    ""action"": ""tabdoc:pane-zoom-factor"",
    ""timestamp"": 1410130532.168,
    ""parameters"": {
        ""pane-resolver-location"": {
            ""y"": 1,
            ""x"": 1
        },
        ""zoom-factor"": ""2"",
        ""worksheet"": ""Sheet 6""
    }
}"
Adjust GUI,12,7,23.30640000104904,"{
    ""action"": ""tabdoc:pane-zoom-factor"",
    ""timestamp"": 1410130533.808,
    ""parameters"": {
        ""pane-resolver-location"": {
            ""y"": 1,
            ""x"": 1
        },
        ""zoom-factor"": ""2"",
        ""worksheet"": ""Sheet 6""
    }
}"
Adjust GUI,12,8,23.400533334414163,"{
    ""action"": ""tabdoc:pane-zoom-factor"",
    ""timestamp"": 1410130539.456,
    ""parameters"": {
        ""pane-resolver-location"": {
            ""y"": 1,
            ""x"": 1
        },
        ""zoom-factor"": ""2"",
        ""worksheet"": ""Sheet 6""
    }
}"
Adjust GUI,12,9,23.614916666348776,"{
    ""action"": ""tabdoc:pane-zoom-factor"",
    ""timestamp"": 1410130552.319,
    ""parameters"": {
        ""pane-resolver-location"": {
            ""y"": 1,
            ""x"": 1
        },
        ""zoom-factor"": ""2"",
        ""worksheet"": ""Sheet 6""
    }
}"
Adjust GUI,12,10,23.826316666603088,"{
    ""action"": ""tabdoc:pane-zoom-factor"",
    ""timestamp"": 1410130565.003,
    ""parameters"": {
        ""pane-resolver-location"": {
            ""y"": 1,
            ""x"": 1
        },
        ""zoom-factor"": ""2"",
        ""worksheet"": ""Sheet 6""
    }
}"
Drag or drop field,17,11,24.124216667811076,"{
    ""action"": ""tabui:drop-ui"",
    ""timestamp"": 1410130582.877,
    ""parameters"": {
        ""shelf-drop-target-position"": {
            ""shelf-type"": ""encoding-shelf"",
            ""shelf-pos-index"": 1,
            ""is-override"": false
        },
        ""drop-target"": ""drag-drop-viz"",
        ""drag-description"": """",
        ""field-encodings"": [
            {
                ""encoding-type"": ""invalid-encoding"",
                ""fn"": {
                    ""table"": ""textscan.41886.512368854200"",
                    ""relation"": {
                        ""aggregate"": ""none"",
                        ""column"": ""OriginCityName"",
                        ""relation"": ""none:OriginCityName:nk"",
                        ""tabscale"": ""nk""
                    }
                }
            }
        ],
        ""shelf-drop-context"": ""none"",
        ""is-right-drag"": ""false"",
        ""is-dead-drop"": ""false"",
        ""target-sheet"": ""Sheet 6"",
        ""drag-source"": ""drag-drop-schema"",
        ""is-copy"": ""false"",
        ""shelf-drag-source-position"": {
            ""is-override"": false
        }
    }
}"
Drag or drop field,17,12,24.160466667016347,"{
    ""action"": ""tabui:drop-ui"",
    ""timestamp"": 1410130585.052,
    ""parameters"": {
        ""source-sheet"": ""Sheet 6"",
        ""shelf-drop-target-position"": {
            ""is-override"": false
        },
        ""drop-target"": ""drag-drop-none"",
        ""shelf-selection"": [
            3
        ],
        ""drag-description"": ""Encodings"",
        ""field-encodings"": [
            {
                ""encoding-type"": ""level-of-detail-encoding"",
                ""fn"": {
                    ""table"": ""textscan.41886.512368854200"",
                    ""relation"": {
                        ""aggregate"": ""none"",
                        ""column"": ""OriginCityName"",
                        ""relation"": ""none:OriginCityName:nk"",
                        ""tabscale"": ""nk""
                    }
                }
            }
        ],
        ""shelf-drop-context"": ""none"",
        ""is-dead-drop"": ""false"",
        ""is-right-drag"": ""false"",
        ""drag-source"": ""drag-drop-viz"",
        ""is-copy"": ""false"",
        ""shelf-drag-source-position"": {
            ""shelf-type"": ""encoding-shelf"",
            ""shelf-drop-action"": ""replace"",
            ""shelf-pos-index"": 0,
            ""is-override"": false
        }
    }
}"
